Temp,Turbidity (cm),DO(mg/L),BOD (mg/L),pH,Ammonia (mg L-1 ),Nitrite (mg L-1 ),Water Quality
"24,62","23,44","3,979","1,204","9,338","0,666","0,479",2
"26,61","41,00","4,303","5,607","8,986","0,030","4,355",2
"23,32","51,70","5,590","2,198","6,000","0,008","2,183",2
"28,48","29,91","3,567","1,298","6,701","0,011","4,902",2
"27,82","23,42","6,099","4,178","9,129","0,045","3,572",2
"17,82","67,86","4,792","3,956","7,513","0,043","4,656",2
"26,74","49,05","3,797","4,956","6,432","0,049","3,467",2
"19,47","33,37","3,661","1,946","6,168","0,033","4,764",2
"29,05","33,00","5,161","1,579","9,246","0,006","2,963",2
"29,10","15,74","3,420","5,965","8,812","0,010","2,509",2
"28,74","18,90","7,239","4,973","6,461","0,025","4,640",2
"22,66","15,57","5,093","4,406","6,169","0,045","3,343",2
"25,64","20,89","6,639","2,041","7,160","0,028","4,555",2
"16,57","30,00","5,956","3,115","6,347","0,023","2,454",2
"20,02","57,83","4,431","1,120","6,876","0,045","2,177",2
"27,78","32,50","5,952","5,158","6,947","0,031","3,030",2
"27,77","66,01","4,337","5,425","9,329","0,007","3,041",2
"15,96","19,19","3,661","1,199","9,445","0,033","2,177",2
"16,26","26,73","5,170","1,626","9,210","0,046","2,732",2
"28,93","78,57","6,395","1,031","8,892","0,038","4,841",2
"17,96","17,33","3,747","1,054","9,227","0,027","2,228",2
"20,17","15,00","3,175","3,386","7,056","0,010","3,722",2
"15,11","48,68","3,191","5,086","6,068","0,049","3,403",2
"15,34","76,43","3,782","1,084","6,721","0,002","2,175",2
"28,88","74,59","5,352","2,565","9,116","0,004","2,327",2
"28,87","77,70","5,396","1,739","6,353","0,006","2,236",2
"20,37","25,30","4,629","1,014","8,653","0,018","3,114",2
"29,58","73,83","7,848","4,172","9,235","0,015","3,925",2
"28,92","67,97","6,593","1,609","8,629","0,045","3,939",2
"29,91","57,39","3,828","1,095","9,292","0,033","4,111",2
"16,47","27,90","7,586","5,438","9,415","0,039","4,990",2
"27,10","40,24","5,799","4,330","6,228","0,024","2,220",2
"23,77","71,66","3,101","1,243","9,066","0,029","3,404",2
"18,59","17,14","5,846","2,091","6,322","0,041","2,118",2
"27,52","61,74","4,459","3,959","8,104","0,010","3,968",2
"16,58","16,27","5,525","4,791","8,088","0,025","4,112",2
"17,88","27,10","7,715","1,902","7,210","0,018","2,340",2
"17,37","51,29","7,497","1,683","8,859","0,035","3,751",2
"22,73","19,13","3,872","4,552","6,145","0,029","4,758",2
"15,62","49,67","5,740","4,985","6,366","0,028","4,810",2
"15,81","40,06","4,237","5,429","9,491","0,020","3,363",2
"20,19","70,26","3,867","2,627","8,444","0,013","4,958",2
"15,22","60,30","5,270","5,502","6,338","0,032","4,523",2
"26,40","16,51","3,436","2,036","6,726","0,003","3,168",2
"26,16","76,52","3,821","1,960","9,056","0,008","4,638",2
"17,07","25,53","4,678","5,599","7,481","0,047","3,809",2
"23,34","27,54","4,440","3,750","9,259","0,007","2,133",2
"15,04","69,51","3,043","1,330","9,289","0,039","3,219",2
"16,45","24,93","5,773","1,452","9,057","0,028","4,455",2
"29,55","47,33","5,567","4,671","8,717","0,027","2,989",2
"21,72","16,72","4,235","1,923","8,764","0,022","3,396",2
"18,66","76,70","3,088","1,516","6,007","0,045","4,876",2
"27,82","18,54","5,180","1,179","6,285","0,049","2,433",2
"22,79","74,44","5,214","1,682","6,767","0,007","2,024",2
"26,25","50,55","4,623","1,187","7,498","0,021","3,892",2
"18,24","70,31","4,080","1,852","6,373","0,019","4,565",2
"15,17","31,72","5,463","2,529","8,165","0,006","3,815",2
"27,82","45,84","7,112","1,145","9,468","0,012","2,684",2
"21,55","79,02","4,227","1,987","6,419","0,039","4,899",2
"23,35","55,37","4,950","3,847","6,001","0,007","3,891",2
"25,14","29,37","4,915","5,577","8,347","0,031","2,586",2
"28,57","47,18","3,563","1,584","7,072","0,009","4,040",2
"26,82","62,19","6,893","1,351","9,269","0,026","2,456",2
"23,37","25,41","4,513","1,355","7,305","0,029","2,279",2
"16,00","27,87","3,709","1,474","6,486","0,038","3,180",2
"27,94","19,10","7,771","1,862","9,339","0,004","2,204",2
"16,91","27,91","3,774","1,021","8,304","0,017","4,306",2
"29,65","20,05","7,953","1,629","6,165","0,014","2,673",2
"25,66","55,76","3,893","1,868","9,286","0,020","4,731",2
"15,67","30,90","3,909","5,511","6,141","0,048","2,660",2
"19,72","56,39","4,087","1,184","6,236","0,032","3,601",2
"19,40","65,18","4,614","5,941","6,317","0,008","3,031",2
"17,96","31,54","5,062","1,625","7,889","0,006","3,493",2
"16,63","42,79","4,668","2,562","9,064","0,043","2,832",2
"21,50","33,93","3,414","3,243","6,150","0,048","2,453",2
"27,69","24,89","4,927","5,311","6,015","0,018","2,869",2
"16,41","38,24","5,266","5,031","6,458","0,031","2,208",2
"20,59","55,47","7,246","1,932","9,084","0,009","3,688",2
"20,21","63,81","6,368","1,038","8,058","0,006","3,632",2
"28,46","25,92","6,961","1,701","9,480","0,006","2,054",2
"21,60","23,50","3,277","3,897","6,454","0,026","4,586",2
"20,28","28,20","6,890","4,430","9,250","0,041","3,235",2
"29,37","25,34","5,904","1,783","8,739","0,041","2,685",2
"21,94","27,09","5,301","1,851","9,299","0,019","3,315",2
"19,50","19,68","5,302","1,497","9,130","0,007","2,439",2
"26,45","69,90","4,042","5,832","8,612","0,048","3,751",2
"22,54","27,85","3,404","1,718","9,323","0,036","4,975",2
"21,66","24,08","3,156","2,887","6,334","0,036","2,267",2
"21,81","59,59","4,308","1,054","7,771","0,029","3,779",2
"28,31","19,76","4,090","4,425","6,711","0,021","4,925",2
"15,93","22,92","3,305","3,668","9,144","0,041","4,696",2
"23,18","57,98","4,622","1,510","6,434","0,046","2,820",2
"27,78","55,03","4,124","5,427","6,704","0,005","3,939",2
"28,46","59,94","7,653","1,990","6,414","0,023","2,394",2
"21,10","76,75","4,124","2,853","8,289","0,030","4,178",2
"19,25","22,95","4,350","3,870","6,786","0,045","3,311",2
"24,42","66,94","6,316","1,309","8,401","0,004","3,620",2
"22,85","48,92","5,940","4,271","9,112","0,032","2,373",2
"20,14","63,17","4,932","1,438","6,143","0,023","2,932",2
"20,06","56,44","3,244","4,285","6,042","0,004","3,558",2
"25,78","19,85","6,620","4,900","6,249","0,018","3,576",2
"23,90","45,16","5,259","2,350","8,094","0,019","0,019",2
"18,88","39,22","6,677","3,680","7,704","0,031","0,018",2
"27,80","24,70","3,652","5,484","6,012","0,021","1,640",2
"17,17","22,33","3,780","4,779","9,371","0,023","0,011",2
"26,75","70,11","5,704","2,575","8,326","0,041","0,480",2
"17,63","28,42","5,376","1,532","9,314","0,019","0,014",2
"23,03","64,16","5,628","1,451","9,417","0,009","0,786",2
"19,22","19,28","7,246","1,560","9,086","0,006","0,002",2
"19,77","22,74","4,068","1,119","8,459","0,033","0,019",2
"17,75","55,11","3,129","2,494","6,230","0,036","0,011",2
"21,91","62,44","3,198","1,970","9,315","0,021","0,005",2
"15,34","41,86","7,853","1,380","6,050","0,013","0,627",2
"21,76","24,92","7,292","2,799","6,143","0,005","0,564",2
"18,68","17,88","3,037","5,272","6,195","0,022","0,016",2
"19,09","35,75","4,569","2,239","6,049","0,002","0,444",2
"15,71","17,60","7,367","1,571","6,146","0,049","0,002",2
"16,43","56,54","4,972","2,815","9,266","0,004","1,653",2
"15,09","69,23","4,622","3,635","8,021","0,038","0,014",2
"19,24","49,49","6,044","1,896","6,903","0,036","0,019",2
"19,76","19,08","3,243","5,434","6,188","0,032","0,017",2
"23,07","61,57","4,639","5,206","6,343","0,020","0,448",2
"26,72","62,67","3,293","1,886","9,154","0,006","1,145",2
"26,18","57,45","3,780","4,096","6,722","0,001","0,388",2
"18,12","65,97","7,803","3,894","6,340","0,041","1,483",2
"27,26","60,41","7,477","3,761","7,138","0,036","0,713",2
"28,53","29,82","4,500","1,316","9,176","0,039","0,892",2
"25,28","25,54","3,725","1,775","8,358","0,019","1,691",2
"24,05","73,48","6,006","1,610","9,103","0,031","1,795",2
"26,40","21,57","3,563","1,795","9,469","0,009","0,598",2
"18,31","26,22","3,834","5,545","9,246","0,020","0,611",2
"23,55","23,46","7,169","4,512","6,357","0,012","1,224",2
"26,95","33,53","6,657","3,684","6,166","0,008","0,517",2
"23,78","74,62","7,596","5,423","6,140","0,030","1,378",2
"17,70","72,80","7,671","1,291","8,323","0,043","0,001",2
"26,37","67,90","6,453","1,142","6,397","0,018","0,014",2
"15,15","15,63","6,667","2,524","8,071","0,032","0,001",2
"16,23","23,25","5,978","2,340","9,057","0,023","1,668",2
"16,78","18,75","6,471","5,284","9,066","0,019","1,239",2
"23,63","72,57","7,455","1,251","6,346","0,003","0,002",2
"26,04","62,13","3,706","5,298","7,400","0,045","0,430",2
"15,60","65,97","3,685","5,739","6,190","0,016","0,011",2
"18,15","27,26","6,014","3,772","9,139","0,003","0,989",2
"22,07","44,95","7,344","1,179","6,314","0,004","0,486",2
"23,51","34,66","3,745","1,315","6,599","0,035","0,005",2
"25,88","16,38","5,534","4,445","6,082","0,023","1,763",2
"23,14","36,57","7,222","5,202","7,145","0,024","0,019",2
"16,73","57,67","5,156","1,242","6,833","0,007","1,272",2
"16,93","19,90","4,551","3,992","9,165","0,001","0,011",2
"20,34","18,31","6,298","1,497","6,168","0,013","1,947",2
"24,77","54,56","3,251","1,027","9,005","0,015","0,019",2
"28,25","73,16","4,064","2,547","9,433","0,039","0,190",2
"24,90","18,56","6,358","1,781","8,680","0,046","0,007",2
"23,34","30,69","3,284","4,632","8,053","0,026","0,019",2
"25,49","66,72","4,609","1,652","9,123","0,046","0,011",2
"26,19","27,07","3,573","1,951","9,068","0,029","0,008",2
"22,85","71,28","4,683","3,702","7,003","0,023","0,018",2
"29,76","36,03","4,670","1,898","8,217","0,031","0,004",2
"18,12","17,41","4,566","1,074","6,309","0,017","1,107",2
"29,33","20,44","3,693","5,446","7,576","0,044","0,930",2
"29,10","74,98","3,807","2,734","7,413","0,036","0,005",2
"28,26","58,38","4,321","5,672","6,349","0,025","0,964",2
"25,38","45,44","5,139","4,858","9,057","0,018","0,013",2
"28,07","23,52","4,769","3,113","6,238","0,004","0,481",2
"17,79","23,59","4,056","2,706","7,521","0,034","1,720",2
"22,73","27,16","7,817","1,260","9,331","0,018","0,317",2
"24,63","18,90","3,823","1,090","9,334","0,042","0,019",2
"18,09","79,69","6,188","2,333","6,878","0,025","0,014",2
"29,35","79,14","4,887","1,375","9,130","0,006","0,012",2
"22,52","38,62","6,824","1,982","9,205","0,043","0,011",2
"26,63","25,76","3,908","1,574","8,155","0,030","0,026",2
"23,99","62,71","3,710","3,061","6,134","0,035","0,077",2
"21,26","26,14","3,853","1,002","9,206","0,017","0,017",2
"27,64","23,97","3,741","1,759","7,607","0,004","0,019",2
"27,55","72,19","3,364","3,918","7,708","0,023","0,553",2
"25,51","27,34","3,391","1,250","6,316","0,031","0,004",2
"32,04","22,11","5,326","1,384","6,036","0,002","0,022",2
"34,74","25,58","3,709","3,131","6,094","0,033","0,003",2
"34,60","20,05","3,645","1,132","6,005","0,039","1,147",2
"30,61","44,06","5,337","3,609","7,225","0,009","0,000",2
"32,96","17,01","6,196","2,059","6,103","0,021","0,001",2
"31,80","44,57","7,039","1,244","9,386","0,044","0,017",2
"33,60","27,31","5,402","1,851","7,594","0,022","0,777",2
"32,62","45,73","6,453","2,139","7,730","0,046","1,598",2
"31,30","51,78","5,983","4,492","6,381","0,013","0,401",2
"32,47","37,10","3,358","1,453","7,611","0,031","1,171",2
"34,28","22,77","7,020","1,566","6,958","0,048","0,005",2
"33,62","18,61","6,174","2,367","9,462","0,017","0,017",2
"31,00","18,72","3,903","4,860","9,375","0,040","0,000",2
"30,79","37,49","6,087","1,911","6,418","0,007","0,057",2
"31,85","19,43","3,901","2,337","6,615","0,013","0,005",2
"34,31","19,40","5,318","2,711","6,693","0,007","1,786",2
"33,42","20,99","6,811","1,443","6,606","0,001","0,390",2
"33,17","26,61","3,618","2,064","9,382","0,034","0,534",2
"30,71","61,66","3,714","1,742","7,203","0,005","0,005",2
"30,40","79,23","4,799","3,531","6,175","0,027","0,647",2
"34,38","18,98","4,444","3,788","6,437","0,009","0,017",2
"32,10","67,32","7,274","4,783","6,044","0,011","0,355",2
"32,44","30,90","4,346","1,738","6,494","0,022","0,007",2
"32,30","41,58","7,970","4,673","6,662","0,007","0,018",2
"32,58","47,06","3,382","1,604","9,204","0,010","0,506",2
"31,36","41,16","5,185","1,207","8,158","0,047","1,207",2
"31,16","31,47","6,655","4,080","9,472","0,015","0,614",2
"34,50","17,93","6,325","4,685","6,179","0,012","0,015",2
"34,54","32,76","4,120","1,413","6,435","0,014","0,773",2
"33,02","17,64","4,020","2,199","9,060","0,019","0,004",2
"31,83","33,83","4,338","3,149","6,494","0,017","1,864",2
"32,99","25,10","3,493","1,174","6,484","0,011","1,416",2
"33,34","16,23","3,789","1,884","6,963","0,003","0,014",2
"34,47","52,38","3,996","5,600","7,376","0,044","0,010",2
"30,44","51,10","4,943","4,747","6,206","0,020","1,078",2
"32,70","79,55","3,031","1,908","7,726","0,020","1,063",2
"32,14","41,46","3,903","1,488","9,289","0,027","0,001",2
"33,09","67,90","3,687","5,551","6,677","0,033","0,578",2
"32,79","23,71","5,636","1,727","8,000","0,015","1,712",2
"31,13","57,03","4,115","1,085","9,449","0,010","0,007",2
"30,52","26,75","7,084","1,443","7,809","0,037","0,009",2
"30,05","20,59","7,798","1,564","9,319","0,016","0,393",2
"30,30","30,79","7,316","4,614","9,214","0,014","0,011",2
"31,61","57,78","3,050","5,597","6,088","0,046","0,018",2
"33,90","16,99","3,951","4,889","6,174","0,017","1,096",2
"31,68","30,97","5,329","1,375","6,620","0,013","0,004",2
"33,10","32,36","3,036","4,062","9,270","0,035","0,120",2
"34,96","18,10","5,031","3,586","6,338","0,030","0,008",2
"33,24","26,76","6,052","1,335","6,405","0,043","1,735",2
"32,70","26,99","4,334","2,858","7,709","0,037","0,017",2
"31,16","76,00","6,721","1,498","7,974","0,011","1,845",2
"33,70","19,65","4,210","4,343","7,088","0,033","0,011",2
"34,44","57,60","3,250","2,056","7,525","0,040","1,745",2
"34,30","25,84","4,433","3,519","8,866","0,004","0,012",2
"32,99","63,48","3,492","1,426","6,091","0,015","0,011",2
"33,27","56,27","3,909","2,111","6,649","0,012","0,016",2
"34,58","73,84","3,060","1,050","7,000","0,022","0,896",2
"32,17","22,80","3,678","1,754","7,630","0,046","0,009",2
"31,45","38,40","7,220","2,308","6,074","0,037","0,517",2
"33,16","60,62","4,142","4,935","8,004","0,002","0,864",2
"31,48","16,43","3,275","1,456","6,450","0,019","1,230",2
"33,11","15,60","5,986","2,918","9,178","0,045","0,003",2
"30,24","40,95","4,071","3,171","6,659","0,012","0,002",2
"34,97","19,53","3,052","1,476","6,497","0,043","0,007",2
"31,03","46,17","3,551","2,518","9,212","0,016","0,201",2
"33,04","27,25","3,109","3,537","6,195","0,040","0,000",2
"31,74","31,27","6,670","1,111","7,795","0,017","1,095",2
"33,59","21,58","4,468","5,578","6,262","0,030","1,680",2
"30,14","33,95","4,879","1,357","6,390","0,010","1,725",2
"30,33","40,93","7,050","3,158","6,924","0,012","0,344",2
"34,64","25,92","4,167","1,241","9,436","0,019","0,007",2
"30,44","26,90","5,569","1,113","8,097","0,002","0,010",2
"31,66","37,62","4,849","4,797","9,123","0,020","0,661",2
"32,63","40,83","7,986","1,386","6,840","0,038","0,010",2
"31,23","52,66","7,121","4,948","7,847","0,034","0,007",2
"32,71","48,98","4,342","1,982","6,297","0,003","0,019",2
"33,90","26,68","7,051","1,497","8,197","0,034","1,249",2
"32,61","37,91","3,538","4,301","7,223","0,004","1,596",2
"34,66","31,21","5,464","1,488","6,023","0,022","0,006",2
"30,74","21,62","4,461","1,494","8,244","0,040","0,530",2
"32,08","25,09","6,998","1,936","6,713","0,017","0,901",2
"31,40","20,15","4,249","5,226","6,201","0,040","0,001",2
"32,99","42,20","6,862","1,022","9,477","0,008","0,003",2
"30,18","52,84","5,892","1,548","9,054","0,035","1,795",2
"30,32","27,70","4,107","1,304","9,224","0,014","0,098",2
"31,61","40,14","3,570","1,109","9,084","0,006","0,008",2
"30,49","68,73","3,141","5,838","6,658","0,034","0,848",2
"30,85","73,08","7,307","5,008","6,177","0,038","1,309",2
"31,86","21,56","4,239","2,096","6,415","0,033","1,924",2
"30,20","23,40","5,154","2,481","6,216","0,048","1,346",2
"33,55","41,87","7,085","3,526","6,646","0,019","0,000",2
"33,21","74,37","7,318","1,727","6,381","0,010","0,015",2
"30,87","71,12","4,280","3,494","9,321","0,004","0,008",2
"30,31","20,38","5,369","2,967","6,174","0,019","0,000",2
"32,03","32,99","5,952","5,333","8,457","0,024","0,379",2
"32,32","68,50","4,969","1,240","8,063","0,033","0,011",2
"31,01","20,55","7,683","1,466","9,462","0,036","0,011",2
"34,35","17,33","4,226","4,914","8,779","0,013","0,012",2
"32,99","18,52","6,601","1,380","9,462","0,035","0,320",2
"30,12","29,82","6,190","4,466","7,319","0,039","0,077",2
"34,50","23,18","4,176","1,496","6,345","0,021","1,870",2
"32,26","15,16","4,995","3,467","6,350","0,048","0,526",2
"30,29","29,05","5,059","1,146","8,544","0,004","1,052",2
"30,53","41,72","3,144","1,439","7,229","0,034","1,358",2
"34,99","61,87","6,602","1,488","6,138","0,004","0,018",2
"34,33","18,11","5,456","5,042","7,424","0,037","0,011",2
"33,08","67,11","4,576","1,389","7,761","0,004","0,003",2
"30,13","55,36","5,483","4,108","6,675","0,037","0,173",2
"31,61","39,01","4,659","1,896","9,351","0,013","0,694",2
"32,32","28,54","3,607","3,024","6,287","0,024","0,013",2
"30,50","35,07","6,190","1,068","6,046","0,049","0,015",2
"32,85","56,23","5,193","3,772","9,194","0,028","0,840",2
"31,63","75,69","6,245","3,364","8,470","0,018","0,020",2
"32,25","55,10","4,908","1,304","6,114","0,049","1,550",2
"32,89","69,41","3,090","1,494","9,047","0,011","0,001",2
"30,37","26,44","3,085","1,938","6,574","0,048","0,012",2
"30,29","15,13","4,860","3,333","9,013","0,014","0,006",2
"31,50","19,12","3,792","3,394","6,452","0,039","0,386",2
"32,61","25,56","5,578","1,249","6,700","0,001","0,674",2
"32,81","56,12","4,388","5,459","6,291","0,014","1,051",2
"31,21","27,54","4,024","3,733","6,506","0,007","0,019",2
"34,56","47,05","3,448","5,500","6,403","0,035","0,371",2
"34,13","18,77","3,603","5,348","6,880","0,002","1,130",2
"32,22","32,06","3,773","4,110","9,475","0,028","0,909",2
"34,91","43,00","7,057","1,319","9,331","0,042","1,673",2
"32,89","18,26","7,600","2,649","8,681","0,033","0,006",2
"31,17","50,94","6,999","1,430","8,156","0,050","0,010",2
"34,05","20,87","5,653","1,913","9,420","0,047","0,073",2
"32,26","21,36","3,722","5,108","8,378","0,040","0,961",2
"31,25","20,60","6,792","2,273","8,811","0,012","0,411",2
"34,78","57,69","3,913","1,723","9,321","0,006","0,018",2
"30,71","28,98","6,607","1,052","6,402","0,046","0,006",2
"32,56","15,76","4,478","2,277","8,712","0,033","1,668",2
"34,86","22,02","7,695","1,561","9,328","0,040","1,046",2
"33,24","69,37","6,273","1,250","9,087","0,046","0,011",2
"33,07","60,39","7,368","1,905","6,071","0,029","0,630",2
"32,35","47,26","4,428","1,713","6,030","0,048","1,693",2
"32,89","21,53","6,906","4,229","6,571","0,027","0,016",2
"34,56","21,91","6,332","1,575","6,235","0,036","0,007",2
"31,88","17,84","7,393","3,181","6,144","0,017","0,003",2
"31,14","29,78","5,128","1,546","8,445","0,023","0,017",2
"32,12","23,19","5,327","1,667","9,409","0,012","0,014",2
"31,37","28,64","5,219","3,886","6,318","0,032","0,011",2
"32,22","25,91","3,411","1,886","6,409","0,008","0,013",2
"33,14","59,54","5,953","2,126","8,975","0,027","1,339",2
"32,67","24,99","3,168","2,017","6,178","0,034","0,001",2
"31,93","35,38","6,190","3,965","6,367","0,024","1,626",2
"34,37","42,76","5,361","5,520","7,930","0,036","0,015",2
"31,50","37,39","4,199","1,937","8,208","0,045","0,015",2
"32,00","78,47","3,751","1,976","6,413","0,050","0,012",2
"32,59","61,88","4,745","1,291","6,408","0,050","0,004",2
"30,31","29,07","3,756","5,596","9,285","0,028","0,000",2
"31,16","29,94","3,780","1,814","8,253","0,048","1,098",2
"30,59","46,33","4,353","1,993","6,154","0,006","1,914",2
"30,49","22,52","3,531","5,197","6,481","0,018","0,816",2
"34,45","47,65","3,624","1,976","9,432","0,007","1,506",2
"30,17","44,61","7,237","1,312","6,150","0,042","0,009",2
"34,20","26,20","4,754","1,510","9,016","0,003","1,348",2
"32,54","60,85","5,277","1,368","6,022","0,036","0,000",2
"30,57","25,13","6,863","5,335","9,141","0,022","0,014",2
"32,45","27,48","3,364","1,810","6,375","0,005","1,798",2
"33,00","71,41","3,860","4,832","7,221","0,000","0,003",2
"30,45","62,25","3,861","1,490","9,132","0,038","0,007",2
"34,89","15,01","5,502","2,342","9,331","0,016","1,034",2
"33,27","17,55","5,250","1,518","9,130","0,013","0,008",2
"32,31","24,35","4,792","2,559","9,166","0,010","0,932",2
"34,32","15,06","4,457","1,413","8,269","0,042","0,001",2
"31,31","64,49","6,543","4,426","8,517","0,029","1,395",2
"34,12","26,89","5,992","1,204","9,184","0,041","0,015",2
"31,64","19,60","5,112","1,451","6,077","0,003","0,017",2
"34,71","54,29","4,827","1,381","6,915","0,032","0,865",2
"31,22","15,97","7,168","2,003","9,272","0,044","0,084",2
"34,79","24,64","3,368","5,385","6,296","0,039","1,274",2
"32,55","21,62","4,198","5,145","6,143","0,007","1,056",2
"32,82","29,54","6,268","1,977","8,262","0,027","0,002",2
"34,97","30,95","5,051","5,919","9,278","0,042","1,788",2
"33,85","54,22","4,568","4,965","6,461","0,048","0,007",2
"31,57","15,98","6,257","3,906","9,220","0,049","0,226",2
"30,29","77,58","4,099","5,888","6,288","0,003","1,701",2
"30,22","28,33","5,499","1,227","9,336","0,011","1,027",2
"34,06","65,55","4,944","1,543","6,162","0,038","0,019",2
"32,06","25,77","7,284","5,595","6,033","0,027","0,012",2
"31,92","25,30","4,167","1,531","9,378","0,044","0,000",2
"32,62","21,76","3,043","1,697","7,473","0,001","1,995",2
"34,46","28,44","7,588","5,799","8,194","0,049","0,788",2
"32,03","45,72","3,462","3,194","6,098","0,003","1,061",2
"33,02","27,79","3,663","5,779","6,985","0,024","0,000",2
"30,47","49,57","3,980","1,501","8,224","0,046","0,008",2
"31,68","35,16","7,026","1,215","8,270","0,031","0,957",2
"30,72","20,05","7,089","1,876","8,907","0,017","0,004",2
"31,22","72,01","5,379","3,518","9,322","0,048","1,439",2
"31,89","34,25","3,985","3,521","7,835","0,042","0,833",2
"31,35","54,71","6,550","1,668","6,628","0,042","0,010",2
"31,08","27,95","5,296","1,833","7,721","0,007","0,109",2
"33,17","22,90","3,694","5,425","9,347","0,004","0,013",2
"34,00","34,03","7,949","4,099","7,391","0,038","0,000",2
"31,04","27,61","4,034","1,748","6,078","0,047","0,003",2
"34,48","47,16","5,996","1,798","9,185","0,031","0,017",2
"33,73","28,11","7,998","1,270","6,395","0,043","0,440",2
"32,68","15,37","4,673","1,792","9,124","0,047","0,013",2
"34,85","61,91","6,456","1,018","9,147","0,037","0,011",2
"32,82","24,08","3,800","1,099","7,045","0,008","0,018",2
"31,09","30,00","3,276","5,359","7,008","0,018","0,742",2
"34,29","63,87","5,882","3,075","9,412","0,046","0,012",2
"34,31","33,03","4,315","1,187","6,362","0,043","0,004",2
"31,57","25,50","4,165","4,717","7,723","0,031","0,007",2
"31,63","21,22","7,557","2,697","7,630","0,040","0,002",2
"34,20","25,05","5,527","1,390","8,011","0,050","1,974",2
"32,46","21,63","3,084","5,548","6,418","0,034","0,972",2
"30,26","17,78","7,763","1,358","6,360","0,029","1,819",2
"33,89","18,93","4,008","5,482","8,783","0,037","0,009",2
"32,13","63,81","7,426","3,646","9,471","0,039","0,567",2
"31,40","26,92","3,482","1,609","8,327","0,036","0,015",2
"31,67","42,43","4,891","5,459","6,310","0,022","1,523",2
"31,83","76,34","7,004","1,741","7,068","0,010","0,011",2
"33,97","65,18","3,971","4,353","6,149","0,031","0,600",2
"30,19","39,79","3,436","1,809","8,928","0,045","0,006",2
"33,63","76,37","4,334","1,169","6,348","0,024","0,003",2
"34,36","34,00","6,297","5,325","7,744","0,017","1,027",2
"31,43","78,28","5,947","1,261","6,073","0,012","0,697",2
"33,28","66,94","7,353","3,901","8,908","0,043","1,123",2
"31,16","57,26","4,241","2,988","8,327","0,047","0,007",2
"33,11","41,81","6,895","1,054","7,895","0,046","1,077",2
"30,38","76,93","4,247","1,356","6,083","0,036","0,001",2
"34,83","60,83","5,491","1,829","7,367","0,023","1,806",2
"32,81","20,68","7,3781","3,0533","9,1308","0,0435","0,5326",1
"17,08","19,79","7,1550","4,5339","9,3351","0,0257","0,2277",1
"16,62","18,10","5,3336","4,1441","9,1786","0,0396","0,2467",1
"16,09","26,34","6,3755","2,3381","6,4370","0,0341","0,4316",1
"17,03","29,29","5,8512","2,9178","9,2189","0,0362","0,2474",1
"19,95","21,33","6,4988","4,9376","9,2147","0,0495","0,0234",1
"18,22","28,17","7,5147","5,8845","6,3082","0,0260","0,8240",1
"34,28","16,87","5,1538","2,4973","6,3886","0,0253","0,4525",1
"30,87","26,11","7,2585","2,5344","9,2959","0,0301","0,4642",1
"15,49","19,22","6,4657","4,6288","6,1748","0,0314","1,2015",1
"30,98","20,58","6,7843","4,8572","9,1265","0,0480","1,7079",1
"19,60","29,77","6,0850","3,3974","9,4778","0,0444","1,6105",1
"33,94","25,86","6,9535","2,9888","9,4902","0,0405","0,0535",1
"15,77","29,79","6,2994","4,5238","6,0757","0,0480","1,9998",1
"15,55","24,21","5,0033","5,6704","9,0083","0,0421","1,9164",1
"19,25","18,44","6,9769","2,8724","6,2034","0,0491","0,8280",1
"19,01","18,48","7,2474","4,5378","9,1777","0,0318","0,2947",1
"33,07","20,40","6,6360","2,1826","9,0657","0,0452","1,2260",1
"17,55","16,32","5,1845","5,2617","9,2322","0,0330","0,6796",1
"32,85","17,55","6,0970","3,7325","9,1231","0,0342","0,4736",1
"34,79","26,61","5,9427","2,1574","9,0707","0,0494","1,5442",1
"33,85","21,81","5,3705","4,1293","9,2757","0,0473","1,9797",1
"34,39","21,54","7,7725","3,1201","6,2454","0,0268","1,0052",1
"19,99","15,25","5,5463","4,1475","6,2646","0,0307","1,4504",1
"32,36","20,96","5,9056","2,7380","9,4364","0,0344","0,7132",1
"19,56","25,43","6,1554","5,8742","6,1212","0,0474","1,5573",1
"16,19","26,76","5,9836","3,3633","9,2787","0,0290","0,3271",1
"19,63","25,30","7,8303","5,0683","6,1484","0,0256","0,1053",1
"32,51","28,43","5,6352","5,9621","6,2698","0,0468","0,0654",1
"16,80","21,09","7,5442","4,1852","9,2233","0,0382","0,1757",1
"30,68","22,30","7,0084","2,8196","9,2021","0,0417","0,5018",1
"30,10","28,70","5,6664","3,0070","9,0612","0,0295","1,4752",1
"32,07","23,57","7,4203","5,6906","9,3087","0,0467","1,9435",1
"30,33","25,78","7,7670","5,8405","9,1741","0,0290","0,3178",1
"17,99","24,64","7,3714","2,8928","9,0552","0,0414","1,8666",1
"16,85","23,86","6,7675","5,5354","6,3066","0,0426","0,6623",1
"19,52","26,14","5,7166","2,0997","9,1115","0,0456","0,8679",1
"32,81","26,72","5,6029","4,9364","9,3885","0,0255","0,0882",1
"31,65","18,25","5,3886","4,0261","6,4308","0,0400","0,0728",1
"18,59","29,42","5,5114","5,1602","9,4874","0,0362","1,2000",1
"18,19","18,37","5,6649","2,5789","6,1674","0,0360","0,5029",1
